epoch,conv2d_transpose_3_loss,conv2d_transpose_6_loss,conv2d_transpose_9_loss,loss,val_conv2d_transpose_3_loss,val_conv2d_transpose_6_loss,val_conv2d_transpose_9_loss,val_loss
0,1.0167487,1.0150337,1.0155398,3.0834059715270996,0.9425302147865295,0.9425077438354492,0.9424684643745422,2.863638401031494
1,0.9444571,0.95297396,0.94874144,2.8823046684265137,0.9423087239265442,0.9422376751899719,0.9421720504760742,2.8629627227783203
2,0.8309716,0.85238016,0.8440717,2.5636675357818604,0.9418320655822754,0.9417269229888916,0.9415988922119141,2.8615562915802
3,0.73961985,0.74591154,0.7351587,2.2570881843566895,0.9413727521896362,0.9412575364112854,0.9409087896347046,2.8601255416870117
4,0.6285269,0.59870857,0.6036,1.8674218654632568,0.9408973455429077,0.9405912756919861,0.9401472210884094,2.858442544937134
5,0.54099655,0.48655733,0.4994891,1.5638495683670044,0.9400983452796936,0.9392444491386414,0.9390456080436707,2.855440139770508
6,0.51009816,0.4589809,0.4715627,1.4776933193206787,0.9390552043914795,0.938204824924469,0.9375402927398682,2.8521041870117188
7,0.48616832,0.43704394,0.4456408,1.4061567783355713,0.9378136992454529,0.9370238780975342,0.9359163641929626,2.8483119010925293
8,0.43537113,0.381464,0.3909132,1.245306134223938,0.9365830421447754,0.9362154006958008,0.9344692230224609,2.845085620880127
9,0.38919404,0.3293308,0.3454096,1.101752519607544,0.935124933719635,0.9348106980323792,0.9323167204856873,2.8403337001800537
10,0.3425183,0.29279575,0.29620057,0.9695957899093628,0.9329031705856323,0.9335212111473083,0.9294815063476562,2.8342487812042236
11,0.30960536,0.25776574,0.25312272,0.858836829662323,0.9289199709892273,0.9302815198898315,0.9247649312019348,2.8225667476654053
12,0.27841136,0.20246746,0.21543552,0.7349144220352173,0.9257733225822449,0.9264764785766602,0.9200636148452759,2.8111631870269775
13,0.20992766,0.15199594,0.15341431,0.5541878342628479,0.921107828617096,0.9211934208869934,0.9125341176986694,2.7939298152923584
14,0.2000253,0.12517796,0.153244,0.517541766166687,0.9175947308540344,0.9158132076263428,0.9072954654693604,2.7800323963165283
15,0.2077503,0.13662319,0.17744736,0.5611498951911926,0.9122081398963928,0.9061569571495056,0.899550199508667,2.757460594177246
16,0.16151856,0.12770227,0.13501492,0.4637809991836548,0.90868079662323,0.9022830128669739,0.8939283490180969,2.7446444034576416
17,0.14050889,0.10215989,0.101971515,0.38439249992370605,0.9059140086174011,0.898904025554657,0.8900560140609741,2.73482608795166
18,0.12179129,0.0867251,0.08771882,0.33618733286857605,0.9031262397766113,0.8965096473693848,0.8866671323776245,2.726447820663452
19,0.115015976,0.07903396,0.08149324,0.3156878650188446,0.8994856476783752,0.8933351635932922,0.8820494413375854,2.7151992321014404
20,0.101821125,0.06902197,0.07037377,0.28154608607292175,0.8944432139396667,0.887424647808075,0.8754749894142151,2.697848320007324
21,0.09136052,0.061698824,0.058108613,0.2516733407974243,0.8887921571731567,0.8803310394287109,0.8678335547447205,2.6776297092437744
22,0.082954444,0.053744614,0.051880673,0.22925280034542084,0.8836222290992737,0.8740920424461365,0.8604578971862793,2.6590049266815186
23,0.07653772,0.04756821,0.049495563,0.21443404257297516,0.8796576857566833,0.8693522214889526,0.8543570041656494,2.644350290298462
24,0.07131811,0.03935487,0.043117106,0.1947735995054245,0.8767125010490417,0.865222156047821,0.8500543236732483,2.6331138610839844
25,0.06616601,0.036627665,0.039084766,0.1830032765865326,0.8743860125541687,0.8607034087181091,0.8475885391235352,2.623934268951416
26,0.062304925,0.03159725,0.035885457,0.17104393243789673,0.8731028437614441,0.8567171096801758,0.8470339775085449,2.618232250213623
27,0.058236778,0.030494688,0.03247493,0.16258494555950165,0.8724583983421326,0.8537998795509338,0.8473016023635864,2.6150519847869873
28,0.05490649,0.026488721,0.028804755,0.1516919732093811,0.8712670207023621,0.8521620631217957,0.8468905687332153,2.6119163036346436
29,0.052773636,0.024915358,0.02808002,0.14736562967300415,0.8688101172447205,0.8511200547218323,0.8449667692184448,2.6065893173217773
30,0.048997756,0.022518191,0.026692474,0.13990074396133423,0.8653383255004883,0.8499356508255005,0.8415102958679199,2.5985639095306396
31,0.04605723,0.021574914,0.024024645,0.13343660533428192,0.8619956374168396,0.8486663103103638,0.8374739289283752,2.5899956226348877
